effect,group,term,estimate,std.error,statistic,df,p.value,store,ICC_adjusted
fixed,NA,asian_pct,0.004386900910891067,0.004868999552688003,0.9009860985649945,27825.010235452635,0.3676035091082557,Dollar Tree,0.9429284641193808
fixed,NA,pov_pct,0.002967250363316652,0.0031686336897024207,0.9364447436634175,27825.02027489631,0.34905237719982807,Dollar Tree,0.9429284641193808
fixed,NA,inc150k_pct,-2.2327413596263438e-4,0.003574532803060953,-0.06246246663939962,27825.153719543177,0.9501949994775591,Dollar Tree,0.9429284641193808
fixed,NA,Supermarket,0.012714755473778528,0.018712154798898484,0.6794917854424226,27825.019585109898,0.4968319630889063,Dollar Tree,0.9429284641193808
fixed,NA,Grocer,-0.003367516460049529,0.008120659716655501,-0.4146850844079504,27825.069741493095,0.6783756496721605,Dollar Tree,0.9429284641193808
fixed,NA,popdens_topcode,5.255337431678633e-5,6.438727125906137e-5,0.8162075094833339,27825.082197055617,0.41438844978723677,Dollar Tree,0.9429284641193808
ran_pars,msa_fips1,sd__(Intercept),11.111330655198548,NA,NA,NA,NA,Dollar Tree,0.9429284641193808
ran_pars,Residual,sd__Observation,2.7336095235508284,NA,NA,NA,NA,Dollar Tree,0.9429284641193808
fixed,NA,(Intercept),-4.432741241112794,2.7811229908713133,-1.5938673894188462,27.042317925164635,0.12258842107901428,Family Dollar,0.5324393820078904
fixed,NA,afam_pct,-0.03111868366168674,0.018947030371691098,-1.6424042739795996,27825.552695721264,0.10051754953876735,Family Dollar,0.5324393820078904
fixed,NA,hisp_pct,1.874094663023684e-4,0.0164714777283866,0.011377817424321975,27825.619864978748,0.9909220925747888,Family Dollar,0.5324393820078904
fixed,NA,asian_pct,-0.07186451997139334,0.024099223455251194,-2.982026375448797,27825.277218601626,0.002865952866283802,Family Dollar,0.5324393820078904
fixed,NA,pov_pct,-0.002960663430525355,0.015683205051192847,-0.18877923363631405,27825.421767884025,0.8502672251079133,Family Dollar,0.5324393820078904
fixed,NA,inc150k_pct,0.07697923255527295,0.017691922834769686,4.351094749519636,27827.30836105586,1.3594155620311426e-5,Family Dollar,0.5324393820078904
fixed,NA,Supermarket,0.012887043949249388,0.09261612866790961,0.13914470551298908,27825.411614715136,0.8893368089126865,Family Dollar,0.5324393820078904
fixed,NA,Grocer,-0.21423311394952757,0.04019309909317794,-5.33009692666097,27826.127494565524,9.892404261681298e-8,Family Dollar,0.5324393820078904
fixed,NA,popdens_topcode,-1.5750515619263497e-4,3.1868347435201746e-4,-0.4942369745180289,27826.304908446422,0.6211427314186914,Family Dollar,0.5324393820078904
ran_pars,msa_fips1,sd__(Intercept),14.438326148876945,NA,NA,NA,NA,Family Dollar,0.5324393820078904
ran_pars,Residual,sd__Observation,13.530091218000559,NA,NA,NA,NA,Family Dollar,0.5324393820078904
